Scenario, Experiment Name, Total Agents, # Distracted Agents, Simulation Time, Flow Rate, Average Agent Path Length
Egress,Walk and Text,50,50,33.05275,1.512733,17.07682
Egress,Walk and Text,50,50,34.78992,1.437198,17.97636
Egress,Walk and Text,50,50,31.71335,1.576623,17.53868
Egress,Walk and Text,50,50,37.45982,1.334763,17.65014
Egress,Walk and Text,50,50,33.25836,1.503381,17.88491
Egress,Walk and Text,50,50,33.61151,1.487586,17.95759
Egress,Walk and Text,50,50,31.52216,1.586186,17.5625
Egress,Walk and Text,50,50,34.04065,1.468832,18.07349
Egress,Walk and Text,50,50,34.19202,1.46233,18.07472
Egress,Walk and Text,50,50,33.5253,1.491411,17.772
Egress,Walk and Text,50,50,33.46118,1.494269,17.73716
Egress,Walk and Text,50,50,36.33701,1.376008,18.00838
Egress,Walk and Text,50,50,33.97803,1.471539,17.7863
Egress,Walk and Text,50,50,32.7724,1.525674,17.5971
Egress,Walk and Text,50,50,34.58258,1.445815,17.40189
Egress,Walk and Text,50,50,38.1134,1.311875,17.84453
Egress,Walk and Talk,50,1,40.78151,1.226046,17.70171
Egress,Walk and Talk,50,1,32.72562,1.527855,17.56154
Egress,Walk and Talk,50,1,34.35574,1.455361,18.25525
Egress,Walk and Talk,50,1,38.12885,1.311343,17.60615
Egress,Walk and Talk,50,1,41.27324,1.211439,18.26587
Egress,Walk and Talk,50,1,39.33444,1.271151,17.70371
Egress,Walk and Talk,50,1,37.35587,1.338478,18.14124
Egress,Walk and Talk,50,1,34.32492,1.456668,17.88152
Egress,Walk and Talk,50,1,31.99796,1.5626,17.65479
Egress,Walk and Talk,50,1,34.24832,1.459926,17.31742
Egress,Walk and Talk,50,1,32.26984,1.549435,17.73132
Egress,Walk and Talk,50,1,32.40393,1.543023,18.01911
Egress,Walk and Talk,50,1,33.83167,1.477905,18.17645
Egress,Walk and Talk,50,1,33.59244,1.48843,17.153
Egress,Walk and Talk,50,1,32.83179,1.522914,17.76496
Egress,Walk and Talk,50,1,34.41101,1.453023,17.21892
Egress,Walk and Talk,50,1,41.92358,1.192646,17.71342
Egress,Walk and Talk,50,1,32.69653,1.529214,17.82743
Egress,Walk and Talk,50,1,32.67346,1.530294,18.3097
Egress,Walk and Talk,50,1,39.62982,1.261676,18.52498
Egress,Walk and Talk,50,2,100.4223,0.4978972,17.30273
Egress,Walk and Talk,50,2,37.21236,1.34364,17.29398
Egress,Walk and Talk,50,2,35.31586,1.415795,17.18741
Egress,Walk and Talk,50,2,32.12361,1.556488,17.79399
Egress,Walk and Talk,50,2,36.47336,1.370864,17.75842
Egress,Walk and Talk,50,2,35.13492,1.423086,17.99508
Egress,Walk and Talk,50,2,35.25262,1.418334,18.03679
Egress,Walk and Talk,50,2,34.33981,1.456036,17.76734
Egress,Walk and Talk,50,2,33.36108,1.498752,17.81551
Egress,Walk and Talk,50,2,33.01648,1.514395,17.5124
Egress,Walk and Talk,50,2,36.31738,1.376751,18.03537
Egress,Walk and Talk,50,2,32.78717,1.524987,17.47099
Egress,Walk and Talk,50,2,35.71011,1.400164,17.4679
Egress,Walk and Talk,50,2,36.58514,1.366675,17.90839
Egress,Walk and Talk,50,2,35.88635,1.393287,18.03607
Egress,Walk and Talk,50,2,35.7193,1.399804,17.62143
Egress,Walk and Talk,50,2,32.11316,1.556994,18.42935
Egress,Walk and Talk,50,2,35.00958,1.42818,17.91444
Egress,Walk and Talk,50,2,37.41272,1.336444,17.50957
Egress,Walk and Talk,50,2,35.03137,1.427292,18.4592
Egress,Walk and Talk,50,5,44.91269,1.113271,17.77932
Egress,Walk and Talk,50,5,36.83604,1.357366,17.85354
Egress,Walk and Talk,50,5,32.03803,1.560645,17.75241
Egress,Walk and Talk,50,5,36.0701,1.38619,17.83942
Egress,Walk and Talk,50,5,34.79474,1.436999,17.47759
Egress,Walk and Talk,50,5,36.53169,1.368675,17.47954
Egress,Walk and Talk,50,5,35.80713,1.39637,17.73042
Egress,Walk and Talk,50,5,37.17117,1.345128,17.12692
Egress,Walk and Talk,50,5,36.50687,1.369605,17.94242
Egress,Walk and Talk,50,5,33.20804,1.50566,17.06146
Egress,Walk and Talk,50,5,36.74271,1.360814,17.91092
Egress,Walk and Talk,50,5,33.65503,1.485662,17.90591
Egress,Walk and Talk,50,5,37.28351,1.341076,18.38768
Egress,Walk and Talk,50,5,30.08411,1.662007,17.7469
Egress,Walk and Talk,50,5,42.12543,1.186932,17.73852
Egress,Walk and Talk,50,5,37.79797,1.322822,17.63517
Egress,Walk and Talk,50,5,38.24023,1.307523,18.02844
Egress,Walk and Talk,50,5,37.22784,1.343081,17.97119
Egress,Walk and Talk,50,5,36.05701,1.386693,17.59828
Egress,Walk and Talk,50,5,35.26874,1.417686,18.38518
Egress,Walk and Talk,50,10,34.78815,1.437271,16.91991
Egress,Walk and Talk,50,10,33.97926,1.471486,16.93669
Egress,Walk and Talk,50,10,39.37481,1.269847,17.78951
Egress,Walk and Talk,50,10,38.76308,1.289887,17.81113
Egress,Walk and Talk,50,10,31.25273,1.59986,17.78857
Egress,Walk and Talk,50,10,37.01033,1.350974,17.65032
Egress,Walk and Talk,50,10,34.94734,1.430724,17.11624
Egress,Walk and Talk,50,10,36.18857,1.381652,17.45797
Egress,Walk and Talk,50,10,39.34048,1.270955,17.09483
Egress,Walk and Talk,50,10,43.94385,1.137816,18.10759
Egress,Walk and Talk,50,10,33.22104,1.50507,17.28525
Egress,Walk and Talk,50,10,33.59109,1.48849,17.72523
Egress,Walk and Talk,50,10,33.18933,1.506508,17.96131
Egress,Walk and Talk,50,10,38.42056,1.301386,18.3519
Egress,Walk and Talk,50,10,37.112,1.347273,18.00544
Egress,Walk and Talk,50,10,42.12177,1.187035,17.73294
Egress,Walk and Talk,50,10,35.53156,1.4072,17.74279
Egress,Walk and Talk,50,10,34.1734,1.463126,17.93523
Egress,Walk and Talk,50,10,36.63916,1.36466,17.70131
Egress,Walk and Talk,50,10,40.42371,1.236898,18.05043
Egress,Walk and Talk,50,20,43.21563,1.156989,17.6328
Egress,Walk and Talk,50,20,46.31588,1.079543,17.88416
Egress,Walk and Talk,50,20,41.22815,1.212764,17.86135
Egress,Walk and Talk,50,20,42.92487,1.164826,18.16448
Egress,Walk and Talk,50,20,37.25061,1.34226,17.09275
Egress,Walk and Talk,50,20,34.06409,1.467821,17.36101
Egress,Walk and Talk,50,20,43.0031,1.162707,17.982
Egress,Walk and Talk,50,20,45.39267,1.101499,17.6356
Egress,Walk and Talk,50,20,33.76294,1.480914,17.79617
Egress,Walk and Talk,50,20,38.77307,1.289555,17.89979
Egress,Walk and Talk,50,20,37.0083,1.351048,17.45672
Egress,Walk and Talk,50,20,34.60855,1.44473,17.37947
Egress,Walk and Talk,50,20,38.98779,1.282453,18.4213
Egress,Walk and Talk,50,20,38.80481,1.2885,18.05089
Egress,Walk and Talk,50,20,36.7619,1.360104,17.99409
Egress,Walk and Talk,50,20,39.15436,1.276997,17.34105
Egress,Walk and Talk,50,20,38.58124,1.295967,17.78135
Egress,Walk and Talk,50,20,38.34058,1.304101,18.30377
Egress,Walk and Talk,50,20,38.28137,1.306118,17.37652
Egress,Walk and Talk,50,20,42.80194,1.168171,17.82103
Egress,Walk and Talk,50,30,46.8567,1.067083,17.70004
Egress,Walk and Talk,50,30,36.91147,1.354593,18.38923
Egress,Walk and Talk,50,30,40.632,1.230557,17.7659
Egress,Walk and Talk,50,30,39.89532,1.25328,17.65516
Egress,Walk and Talk,50,30,41.5359,1.203778,17.48823
Egress,Walk and Talk,50,30,42.28697,1.182397,17.34875
Egress,Walk and Talk,50,30,37.14037,1.346244,17.67301
Egress,Walk and Talk,50,30,39.23303,1.274436,17.69191
Egress,Walk and Talk,50,30,37.05487,1.34935,17.43903
Egress,Walk and Talk,50,30,40.58655,1.231935,17.76406
Egress,Walk and Talk,50,30,37.07227,1.348717,17.74645
Egress,Walk and Talk,50,30,40.6987,1.22854,17.94466
Egress,Walk and Talk,50,30,38.01926,1.315123,17.23486
Egress,Walk and Talk,50,30,41.59552,1.202052,18.2135
Egress,Walk and Talk,50,30,39.06793,1.279822,17.97128
Egress,Walk and Talk,50,30,49.71655,1.005701,17.83102
Egress,Walk and Talk,50,30,35.099,1.424542,17.45378
Egress,Walk and Talk,50,30,40.34088,1.239437,17.7723
Egress,Walk and Talk,50,30,39.34216,1.270901,18.03608
Egress,Walk and Talk,50,30,46.08209,1.08502,18.24647
Egress,Walk and Talk,50,40,43.36039,1.153126,17.46491
Egress,Walk and Talk,50,40,40.20862,1.243514,17.68179
Egress,Walk and Talk,50,40,40.78905,1.225819,17.63594
Egress,Walk and Talk,50,40,40.70071,1.22848,17.83675
Egress,Walk and Talk,50,40,41.60565,1.20176,17.81069
Egress,Walk and Talk,50,40,34.27751,1.458682,17.79832
Egress,Walk and Talk,50,40,44.69289,1.118746,17.57811
Egress,Walk and Talk,50,40,38.88034,1.285997,16.94016
Egress,Walk and Talk,50,40,40.17029,1.244701,17.56689
Egress,Walk and Talk,50,40,41.70764,1.198821,17.54478
