Scenario, Experiment Name, Total Agents, # Distracted Agents, Simulation Time, Flow Rate, Average Agent Path Length, Average Agent Kinetic Energy Average, Average Agent Effort
Egress,Walk and Talk,50,1,37.54443,1.331755,17.7761,0.5074692,75.18087
Egress,Walk and Talk,50,1,33.90985,1.474498,17.50704,0.486371,73.42171
Egress,Walk and Talk,50,1,36.185,1.381788,18.44824,0.4643732,78.9456
Egress,Walk and Talk,50,1,34.91113,1.432208,17.12156,0.494816,71.31161
Egress,Walk and Talk,50,1,38.15076,1.31059,17.69259,0.4652708,77.18902
Egress,Walk and Talk,50,2,37.30227,1.340401,17.79122,0.5015152,72.10421
Egress,Walk and Talk,50,2,34.24393,1.460113,17.08862,0.4647901,73.73758
Egress,Walk and Talk,50,2,37.80298,1.322647,17.45336,0.4464134,77.10027
Egress,Walk and Talk,50,2,34.30502,1.457513,17.961,0.4847512,76.2139
Egress,Walk and Talk,50,2,34.10519,1.466052,18.07098,0.5197013,73.35976
Egress,Walk and Talk,50,2,33.89357,1.475206,17.56201,0.4754156,74.81228
Egress,Walk and Talk,50,2,35.27164,1.41757,17.54607,0.4989329,73.35268
Egress,Walk and Talk,50,2,34.1077,1.465945,18.21912,0.5273807,73.4119
Egress,Walk and Talk,50,2,34.22302,1.461005,18.13872,0.507263,74.1874
Egress,Walk and Talk,50,2,35.32803,1.415307,17.48409,0.4923883,74.2139
Egress,Walk and Talk,50,2,34.43585,1.451975,18.10765,0.5148186,74.17769
Egress,Walk and Talk,50,2,33.19412,1.506291,17.57183,0.4947616,72.77099
Egress,Walk and Talk,50,2,35.05399,1.426371,17.12125,0.469829,72.8463
Egress,Walk and Talk,50,2,37.05197,1.349456,17.99682,0.5067078,77.03152
Egress,Walk and Talk,50,2,32.38544,1.543904,17.33494,0.5186481,70.18265
Egress,Walk and Talk,50,2,32.10327,1.557474,16.92487,0.5059965,69.58546
Egress,Walk and Talk,50,2,37.09167,1.348011,18.21172,0.5285784,75.27865
Egress,Walk and Talk,50,2,35.16901,1.421706,17.31832,0.4898106,73.63435
Egress,Walk and Talk,50,2,35.63354,1.403172,17.60847,0.5134134,72.67974
Egress,Walk and Talk,50,2,34.53827,1.44767,17.43309,0.4838351,73.80663
Egress,Walk and Talk,50,5,39.28123,1.272872,18.32744,0.4898493,75.19754
Egress,Walk and Talk,50,5,35.58231,1.405192,17.95988,0.5113454,73.06402
Egress,Walk and Talk,50,5,35.69373,1.400806,17.49714,0.4730727,74.52805
Egress,Walk and Talk,50,5,41.56585,1.202911,16.57046,0.4386005,73.62106
Egress,Walk and Talk,50,5,32.99339,1.515455,17.56423,0.4999577,71.80862
Egress,Walk and Talk,50,5,38.31982,1.304808,17.85502,0.4948432,74.58025
Egress,Walk and Talk,50,5,34.44714,1.451499,18.04686,0.5229671,73.23948
Egress,Walk and Talk,50,5,40.21863,1.243205,18.14264,0.4682148,79.97755
Egress,Walk and Talk,50,5,36.3717,1.374695,17.55308,0.5075281,74.2124
Egress,Walk and Talk,50,5,33.04358,1.513153,17.50168,0.5099841,71.1798
Egress,Walk and Talk,50,5,34.82355,1.43581,17.50528,0.4967939,72.41779
Egress,Walk and Talk,50,5,33.24054,1.504187,17.87691,0.5232359,71.23888
Egress,Walk and Talk,50,5,38.19629,1.309028,17.79537,0.4504528,78.10247
Egress,Walk and Talk,50,5,33.60471,1.487887,17.57556,0.5122932,71.57014
Egress,Walk and Talk,50,5,36.08298,1.385695,17.46449,0.4823479,73.58633
Egress,Walk and Talk,50,5,35.18628,1.421008,17.27786,0.4896039,71.76736
Egress,Walk and Talk,50,5,33.84363,1.477383,17.56291,0.4715837,74.5989
Egress,Walk and Talk,50,5,32.64728,1.531521,17.54915,0.5069575,70.25451
Egress,Walk and Talk,50,5,36.18402,1.381825,18.17363,0.504806,73.82075
Egress,Walk and Talk,50,5,36.38794,1.374082,17.48835,0.4803987,73.94302
Egress,Walk and Talk,50,10,35.3229,1.415512,17.37206,0.5002356,67.93885
Egress,Walk and Talk,50,10,36.17843,1.382039,17.07355,0.4494416,72.16921
Egress,Walk and Talk,50,10,39.46659,1.266894,17.58645,0.4782847,73.53979
Egress,Walk and Talk,50,10,39.56326,1.263799,17.44992,0.5004249,72.4241
Egress,Walk and Talk,50,10,36.97206,1.352373,17.46321,0.4607498,73.35268
Egress,Walk and Talk,50,10,31.31458,1.596701,18.01668,0.4993795,71.99933
Egress,Walk and Talk,50,10,36.69162,1.362709,18.40631,0.5055636,74.77132
Egress,Walk and Talk,50,10,41.60826,1.201684,17.83492,0.4492012,77.60056
Egress,Walk and Talk,50,10,37.50961,1.332992,17.82297,0.4611488,75.91925
Egress,Walk and Talk,50,10,33.30429,1.501308,17.59328,0.4929965,70.23292
Egress,Walk and Talk,50,10,35.517,1.407777,17.63875,0.4481512,74.57154
Egress,Walk and Talk,50,10,37.17517,1.344984,17.68771,0.4572939,75.01893
Egress,Walk and Talk,50,10,36.20248,1.381121,17.89627,0.4795615,74.18714
Egress,Walk and Talk,50,10,44.12607,1.133117,17.63804,0.4101346,80.46018
Egress,Walk and Talk,50,10,37.41809,1.336252,17.47089,0.4644199,74.61844
Egress,Walk and Talk,50,10,34.4021,1.4534,18.16982,0.4795007,74.97803
Egress,Walk and Talk,50,10,34.8736,1.433749,17.90615,0.4965249,72.74377
Egress,Walk and Talk,50,10,37.5719,1.330782,17.21436,0.4616186,73.01813
Egress,Walk and Talk,50,10,34.35059,1.455579,17.66113,0.4734184,73.45635
Egress,Walk and Talk,50,10,39.0296,1.281079,17.24755,0.4550812,74.87677
Egress,Walk and Talk,50,20,41.24299,1.212327,17.85022,0.4339804,74.17068
Egress,Walk and Talk,50,20,43.44609,1.150851,17.80772,0.4375666,77.9095
Egress,Walk and Talk,50,20,42.42917,1.178435,18.3231,0.4085602,81.3566
Egress,Walk and Talk,50,20,46.02286,1.086417,18.12573,0.393519,81.94333
Egress,Walk and Talk,50,20,36.71289,1.361919,17.32182,0.4265898,73.57637
Egress,Walk and Talk,50,20,38.19218,1.309168,18.0619,0.45524,75.55353
Egress,Walk and Talk,50,20,37.64366,1.328245,17.34172,0.4306956,72.92954
Egress,Walk and Talk,50,20,34.78287,1.437489,17.42208,0.4471094,70.60688
Egress,Walk and Talk,50,20,36.01135,1.388451,17.89509,0.4674972,72.21895
Egress,Walk and Talk,50,20,37.30121,1.340439,17.60343,0.44411,74.91384
Egress,Walk and Talk,50,20,36.7583,1.360237,17.23757,0.4236531,72.96597
Egress,Walk and Talk,50,20,37.57736,1.330588,17.36995,0.4399617,73.28841
Egress,Walk and Talk,50,20,33.56027,1.489857,17.69024,0.5028094,70.00253
Egress,Walk and Talk,50,20,38.40192,1.302018,17.67208,0.4810813,72.04702
Egress,Walk and Talk,50,20,40.62231,1.230851,17.97918,0.4415867,75.87503
Egress,Walk and Talk,50,20,37.15588,1.345682,17.12201,0.4041188,74.69473
Egress,Walk and Talk,50,20,38.7016,1.291936,17.9311,0.4367526,76.21252
Egress,Walk and Talk,50,20,36.10925,1.384687,17.45372,0.4821097,70.44529
Egress,Walk and Talk,50,20,39.77527,1.257063,17.79643,0.4323498,76.20548
Egress,Walk and Talk,50,20,42.95654,1.163967,16.86112,0.4193923,76.24091
Egress,Walk and Talk,50,30,41.37539,1.208448,17.75112,0.4324202,72.75616
Egress,Walk and Talk,50,30,37.48499,1.333867,17.30688,0.4013219,72.44263
Egress,Walk and Talk,50,30,37.34498,1.338868,17.52544,0.4229309,72.82767
Egress,Walk and Talk,50,30,39.54912,1.264251,18.01657,0.4235189,74.72491
Egress,Walk and Talk,50,30,42.5139,1.176086,18.19644,0.3861677,80.13365
Egress,Walk and Talk,50,30,40.88495,1.222944,17.81318,0.4131793,75.83539
Egress,Walk and Talk,50,30,37.28174,1.341139,17.88192,0.4430524,74.33914
Egress,Walk and Talk,50,30,36.89771,1.355098,17.20487,0.4053187,72.72698
Egress,Walk and Talk,50,30,38.08511,1.312849,17.71215,0.4284003,72.90675
Egress,Walk and Talk,50,30,42.51849,1.175959,17.86882,0.3592956,82.13672
